,mjd,dm,width,bw,peakf,fluence,E
0,58724.87757472401,567.3,6.13,0.11,12.831,0.0787,8.426e+37
1,58724.879789116,564.3,4.0,0.25,28.25,0.113,1.21e+38
2,58724.885144007,565.1,2.83,0.4,269.05,0.7614,8.151e+38
3,58724.88634527,568.3,6.35,0.26,7.003,0.0445,4.764e+37
4,58724.886384602,565.8,8.51,0.16,6.268,0.0534,5.711e+37
5,58724.887370014,568.8,4.25,0.12,4.474,0.019,2.036e+37
6,58724.887596868,567.6,5.49,0.2,12.48,0.0685,7.334e+37
7,58724.891114144004,565.8,7.99,0.23,7.943,0.0635,6.796e+37
8,58724.902732245995,567.6,6.52,0.1,8.97,0.0585,6.261e+37
9,58724.905970614,564.2,3.5,0.4,21.05,0.0737,7.887e+37
10,58724.90597070599,564.7,5.35,0.4,102.48,0.5483,5.869e+38
11,58724.907803710994,565.7,4.49,0.22,15.7,0.0705,7.546e+37
12,58724.909622982,565.7,8.54,0.15,17.99,0.1536,1.645e+38
13,58724.911838133,565.3,9.03,0.2,12.86,0.1161,1.243e+38
14,58724.91500744,565.1,9.61,0.2,13.47,0.1295,1.3859999999999999e+38
15,58724.916569615,564.2,2.91,0.3,23.49,0.0684,7.317e+37
16,58724.917195580994,567.3,5.38,0.22,22.7,0.1221,1.3069999999999998e+38
17,58724.917196236,565.0,8.08,0.22,25.1,0.2028,2.1709999999999997e+38
18,58724.920837633,566.1,1.51,0.3,10.64,0.0161,1.7199999999999998e+37
19,58724.922249805,565.4,2.32,0.29,35.14,0.0815,8.727e+37
20,58724.922304627995,567.1,2.43,0.15,20.64,0.0502,5.369e+37
21,58724.922304888,565.2,1.89,0.1,31.7,0.0599,6.413999999999999e+37
22,58724.922304919004,566.0,6.37,0.4,198.2,1.2625,1.352e+39
23,58724.923026148,567.4,9.12,0.21,12.11,0.1104,1.1819999999999999e+38
24,58724.924419439005,563.9,4.68,0.295,11.22,0.0525,5.621e+37
25,58724.924419988,564.7,3.28,0.3,17.02,0.0558,5.9759999999999995e+37
26,58724.925545347,566.0,3.08,0.15,12.327,0.0379,4.0579999999999996e+37
27,58724.929142015,564.3,3.35,0.19,5.409,0.0181,1.94e+37
28,58724.930911227995,564.5,5.75,0.21,15.98,0.0919,9.836e+37
29,58724.931130179,566.9,8.1,0.11,12.76,0.1034,1.106e+38
